battleID,userID,battle_name,n_sims
1,2,Cantina 1-F,7
2,2,Dark Side 1-A (Hard),5
3,3,Cantina 1-F,0
4,3,Cantina 1-F,0
5,3,Cantina 1-F,0
6,4,Cantina 1-F,0
7,2,Cantina 1-F,4
8,2,Light Side 2-D (Hard),5
9,2,Dark Side 1-D (Hard),3
10,3,Dark Side 1-A (Hard),0
11,3,Dark Side 1-A (Hard),0
12,3,Dark Side 1-A (Hard),0
13,3,Light Side 2-F (Hard),0
14,3,Light Side 2-F (Hard),0
15,1,Cantina 2-A,7
16,3,Light Side 3-F (Hard),0
17,1,Dark Side 1-A (Hard),5
18,1,Light Side 3-E (Hard),4
19,1,Fleet 1-A,5
20,1,Fleet 1-E,2
21,3,Cantina 1-F,8
22,3,Dark Side 1-A (Hard),2
23,3,Light Side 2-D (Hard),5
24,3,Light Side 2-F (Hard),2
25,1,Dark Side 2-C (Hard),5
26,1,Light Side 5-E (Hard),4
27,1,Cantina 2-A,10
28,1,Fleet 1-E,3
29,2,Light Side 1-A (Hard),5
30,3,Light Side 3-E (Hard),5
31,3,Cantina 1-F,2
32,3,Cantina 1-F,0
33,3,Cantina 1-F,0
34,3,Cantina 1-F,0
35,3,Cantina 1-F,0
36,3,Cantina 1-F,0
37,3,Dark Side 3-C (Hard),0
38,3,Dark Side 3-C (Hard),0
39,3,Dark Side 3-C (Hard),0
40,3,Dark Side 3-C (Hard),0
41,2,Cantina 1-F,8
42,3,Light Side 3-D (Hard),0
43,2,Light Side 2-E (Hard),5
44,3,Light Side 3-D (Hard),0
45,2,Light Side 2-A (Hard),3
46,3,Light Side 3-D (Hard),0
47,3,Light Side 3-D (Hard),0
48,1,Light Side 5-E (Hard),1
49,1,Dark Side 3-E (Hard),5
50,1,Dark Side 1-B (Hard),5
51,1,Fleet 1-C,5
